,day,timestamp,product,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,spread
1,0,0,STARFRUIT,5036,30,,,,,5043,30,,,,,5039.5,0.0,7
3,0,100,STARFRUIT,5041,4,5037.0,1.0,5036.0,30.0,5043,31,,,,,5042.0,0.0,2
5,0,200,STARFRUIT,5037,1,5036.0,21.0,,,5043,1,5044.0,21.0,,,5040.0,0.0,6
6,0,300,STARFRUIT,5037,25,,,,,5044,25,,,,,5040.5,0.0,7
9,0,400,STARFRUIT,5037,25,,,,,5042,6,5044.0,25.0,,,5039.5,0.0,5
11,0,500,STARFRUIT,5037,24,,,,,5044,24,,,,,5040.5,0.0,7
13,0,600,STARFRUIT,5037,26,,,,,5044,26,,,,,5040.5,0.0,7
14,0,700,STARFRUIT,5037,5,5036.0,27.0,,,5043,27,,,,,5040.0,0.0,6
17,0,800,STARFRUIT,5036,26,,,,,5043,26,,,,,5039.5,0.0,7
19,0,900,STARFRUIT,5036,29,,,,,5043,29,,,,,5039.5,0.0,7
21,0,1000,STARFRUIT,5037,2,5036.0,26.0,,,5043,28,,,,,5040.0,0.0,6
22,0,1100,STARFRUIT,5038,6,5037.0,25.0,,,5043,2,5044.0,23.0,,,5040.5,0.0,5
25,0,1200,STARFRUIT,5037,8,5036.0,30.0,,,5043,30,,,,,5040.0,0.0,6
27,0,1300,STARFRUIT,5036,28,,,,,5037,5,5042.0,1.0,5043.0,27.0,5036.5,0.0,1
29,0,1400,STARFRUIT,5036,25,,,,,5043,26,,,,,5039.5,0.0,7
30,0,1500,STARFRUIT,5041,1,5036.0,22.0,,,5043,22,,,,,5042.0,0.0,2
33,0,1600,STARFRUIT,5037,23,,,,,5043,1,5044.0,22.0,,,5040.0,0.0,6
35,0,1700,STARFRUIT,5036,27,,,,,5041,8,5043.0,27.0,,,5038.5,0.0,5
37,0,1800,STARFRUIT,5037,10,5036.0,25.0,,,5043,2,5044.0,25.0,,,5040.0,0.0,6
38,0,1900,STARFRUIT,5036,31,,,,,5043,31,,,,,5039.5,0.0,7
41,0,2000,STARFRUIT,5036,26,,,,,5037,7,5043.0,26.0,,,5036.5,0.0,1
43,0,2100,STARFRUIT,5036,23,,,,,5043,23,,,,,5039.5,0.0,7
45,0,2200,STARFRUIT,5036,32,,,,,5043,32,,,,,5039.5,0.0,7
46,0,2300,STARFRUIT,5037,24,,,,,5043,2,5044.0,22.0,,,5040.0,0.0,6
49,0,2400,STARFRUIT,5042,10,5037.0,25.0,,,5043,2,5044.0,23.0,,,5042.5,0.0,1
51,0,2500,STARFRUIT,5036,21,,,,,5043,21,,,,,5039.5,0.0,7
53,0,2600,STARFRUIT,5035,25,,,,,5042,25,,,,,5038.5,0.0,7
54,0,2700,STARFRUIT,5035,25,,,,,5040,3,5041.0,1.0,5042.0,24.0,5037.5,0.0,5
57,0,2800,STARFRUIT,5041,1,5035.0,29.0,,,5042,29,,,,,5041.5,0.0,1
59,0,2900,STARFRUIT,5035,25,,,,,5042,25,,,,,5038.5,0.0,7
61,0,3000,STARFRUIT,5035,2,5034.0,29.0,,,5041,31,,,,,5038.0,0.0,6
62,0,3100,STARFRUIT,5035,1,5034.0,26.0,,,5041,28,,,,,5038.0,0.0,6
64,0,3200,STARFRUIT,5035,32,,,,,5041,2,5042.0,30.0,,,5038.0,0.0,6
67,0,3300,STARFRUIT,5034,28,,,,,5041,28,,,,,5037.5,0.0,7
68,0,3400,STARFRUIT,5034,29,,,,,5041,29,,,,,5037.5,0.0,7
70,0,3500,STARFRUIT,5034,30,,,,,5041,30,,,,,5037.5,0.0,7
72,0,3600,STARFRUIT,5035,2,5034.0,21.0,,,5041,21,,,,,5038.0,0.0,6
75,0,3700,STARFRUIT,5035,2,5034.0,29.0,,,5037,4,5041.0,31.0,,,5036.0,0.0,2
76,0,3800,STARFRUIT,5034,30,,,,,5039,2,5041.0,30.0,,,5036.5,0.0,5
78,0,3900,STARFRUIT,5034,25,,,,,5041,25,,,,,5037.5,0.0,7
80,0,4000,STARFRUIT,5035,5,5034.0,29.0,,,5041,29,,,,,5038.0,0.0,6
83,0,4100,STARFRUIT,5035,8,5034.0,23.0,,,5041,24,,,,,5038.0,0.0,6
84,0,4200,STARFRUIT,5035,3,5034.0,28.0,,,5041,28,,,,,5038.0,0.0,6
86,0,4300,STARFRUIT,5035,2,5034.0,29.0,,,5041,31,,,,,5038.0,0.0,6
88,0,4400,STARFRUIT,5036,7,5035.0,27.0,,,5042,27,,,,,5039.0,0.0,6
91,0,4500,STARFRUIT,5036,5,5035.0,27.0,,,5042,27,,,,,5039.0,0.0,6
92,0,4600,STARFRUIT,5035,22,,,,,5041,1,5042.0,21.0,,,5038.0,0.0,6
94,0,4700,STARFRUIT,5034,27,,,,,5039,1,5041.0,27.0,,,5036.5,0.0,5
96,0,4800,STARFRUIT,5034,25,,,,,5039,3,5041.0,25.0,,,5036.5,0.0,5
99,0,4900,STARFRUIT,5033,22,,,,,5040,22,,,,,5036.5,0.0,7
100,0,5000,STARFRUIT,5033,1,5032.0,22.0,,,5037,1,5039.0,23.0,,,5035.0,0.0,4
102,0,5100,STARFRUIT,5038,1,5032.0,25.0,,,5039,25,,,,,5038.5,0.0,1
104,0,5200,STARFRUIT,5033,2,5032.0,22.0,,,5039,24,,,,,5036.0,0.0,6
107,0,5300,STARFRUIT,5032,25,,,,,5039,25,,,,,5035.5,0.0,7
108,0,5400,STARFRUIT,5032,27,,,,,5035,6,5039.0,27.0,,,5033.5,0.0,3
111,0,5500,STARFRUIT,5033,6,5032.0,30.0,,,5039,30,,,,,5036.0,0.0,6
113,0,5600,STARFRUIT,5036,2,5032.0,27.0,,,5038,1,5039.0,26.0,,,5037.0,0.0,2
